144.071, 129.950, 5.010, 11.250 False
143.820, 129.950, 5.012, 11.300 False
143.569, 129.949, 5.012, 11.350 False
143.320, 129.949, 4.989, 11.400 False
143.070, 129.949, 4.996, 11.450 False
142.820, 129.948, 5.002, 11.500 False
142.570, 129.948, 5.006, 11.550 False
142.319, 129.948, 5.010, 11.600 False
142.069, 129.948, 5.011, 11.650 False
141.818, 129.947, 5.012, 11.700 False
141.569, 129.947, 4.989, 11.750 False
141.319, 129.947, 4.996, 11.800 False
141.069, 129.946, 5.002, 11.850 False
140.818, 129.946, 5.006, 11.900 False
140.568, 129.946, 5.010, 11.950 False
140.317, 129.946, 5.011, 12.000 False
140.067, 129.945, 5.011, 12.050 False
139.817, 129.945, 4.989, 12.100 False
139.568, 129.945, 4.996, 12.150 False
139.318, 129.945, 5.002, 12.200 False
139.067, 129.944, 5.006, 12.250 False
138.817, 129.944, 5.010, 12.300 False
138.566, 129.944, 5.011, 12.350 False
138.316, 129.944, 5.010, 12.400 False
138.066, 129.943, 5.001, 12.450 False
137.816, 129.943, 5.005, 12.500 False
137.565, 129.943, 5.007, 12.550 False
137.315, 129.943, 5.008, 12.600 False
137.065, 129.942, 4.990, 12.650 False
136.815, 129.942, 4.993, 12.700 False
136.566, 129.942, 4.999, 12.750 False
136.315, 129.942, 5.004, 12.800 False
136.065, 129.941, 5.008, 12.850 False
135.814, 129.941, 5.010, 12.900 False
135.564, 129.941, 5.013, 12.950 False
135.314, 129.941, 4.998, 13.000 False
135.064, 129.940, 5.003, 13.050 False
134.813, 129.940, 5.006, 13.100 False
134.563, 129.940, 5.009, 13.150 False
134.312, 129.940, 5.009, 13.200 False
134.062, 129.940, 4.998, 13.250 False
133.812, 129.939, 5.002, 13.300 False
133.562, 129.939, 5.005, 13.350 False
133.312, 129.939, 5.008, 13.400 False
133.061, 129.939, 5.009, 13.450 False
132.811, 129.939, 5.009, 13.500 False
132.561, 129.939, 5.001, 13.550 False
132.311, 129.939, 5.004, 13.600 False
132.061, 129.939, 5.006, 13.650 False
131.810, 129.938, 5.007, 13.700 False
131.560, 129.938, 4.997, 13.750 False
131.310, 129.938, 4.998, 13.800 False
131.060, 129.938, 5.002, 13.850 False
130.810, 129.938, 5.005, 13.900 False
130.560, 129.938, 5.007, 13.950 False
130.309, 129.938, 5.008, 14.000 False
130.059, 129.937, 5.008, 14.050 False
129.809, 129.937, 4.999, 14.100 False
129.559, 129.937, 5.002, 14.150 False
129.309, 129.937, 5.005, 14.200 False
129.058, 129.937, 5.007, 14.250 False
128.808, 129.937, 5.006, 14.300 False
128.558, 129.937, 4.992, 14.350 False
128.309, 129.937, 4.997, 14.400 False
128.059, 129.937, 5.002, 14.450 False
127.808, 129.937, 5.005, 14.500 False
127.558, 129.937, 5.008, 14.550 False
127.308, 129.936, 4.995, 14.600 False
127.061, 129.936, 4.917, 14.650 False
126.820, 129.937, 4.788, 14.700 False
126.587, 129.937, 4.627, 14.750 False
126.363, 129.937, 4.443, 14.800 False
126.148, 129.937, 4.247, 14.850 False
125.944, 129.937, 4.042, 14.900 False
125.750, 129.937, 3.838, 14.950 False
125.565, 129.937, 3.639, 15.000 False
125.391, 129.937, 3.448, 15.050 False
125.225, 129.937, 3.265, 15.100 False
125.068, 129.937, 3.090, 15.150 False
124.920, 129.937, 2.897, 15.200 False
124.781, 129.937, 2.724, 15.250 False
124.650, 129.937, 2.582, 15.300 False
124.524, 129.937, 2.491, 15.350 False
124.400, 129.937, 2.454, 15.400 False
124.275, 129.937, 2.476, 15.450 False
124.148, 129.937, 2.546, 15.500 False
124.015, 129.937, 2.659, 15.550 False
123.876, 129.937, 2.782, 15.600 False
123.732, 129.937, 2.885, 15.650 False
123.584, 129.937, 2.964, 15.700 False
123.433, 129.937, 3.017, 15.750 False
123.281, 129.937, 3.045, 15.800 False
123.128, 129.937, 3.050, 15.850 False
122.977, 129.937, 3.024, 15.900 False
122.828, 129.937, 2.966, 15.950 False
122.683, 129.938, 2.894, 16.000 False
122.542, 129.938, 2.797, 16.050 False
122.407, 129.938, 2.666, 16.100 False
